GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0010200	response to chitin	1.14340998471203e-31	1.00259001817381e-28	5.27 (72/677; 421/20876)	AT1G23710 AT1G09070 AT2G40000 AT2G40140 AT1G59870 AT1G32640 AT1G01720 AT1G32920 AT1G66160 AT4G33430 AT4G34150 AT3G55430 AT3G55980 AT2G30040 AT1G18740 AT1G17420 AT1G68840 AT1G76600 AT3G11820 AT3G49530 AT3G57530 AT3G62720 AT5G03720 AT5G05140 AT5G05410 AT5G42650 AT5G63130 AT5G64310 AT2G23320 AT2G44490 AT2G41100 AT2G46500 AT1G09940 AT1G27730 AT1G32460 AT3G08720 AT3G19970 AT1G66880 AT4G26090 AT4G31550 AT3G46620 AT3G50910 AT3G52450 AT5G47200 AT5G57560 AT5G14740 AT5G16830 AT5G04340 AT2G33700 AT2G23810 AT1G08930 AT1G80820 AT1G02450 AT1G19050 AT3G09010 AT3G01480 AT1G22070 AT4G01250 AT4G18950 AT4G27280 AT4G31800 AT4G33050 AT4G37610 AT3G46600 AT3G50260 AT3G53180 AT3G59350 AT5G03680 AT5G22890 AT5G44070 AT1G73540 AT4G17490
GO:0009414	response to water deprivation	4.84582349129521e-31	1.48277049059622e-28	5.24 (71/677; 418/20876)	AT2G41430 AT1G73480 AT1G32640 AT1G01720 AT3G63010 AT2G46680 AT2G17840 AT3G11820 AT3G30775 AT4G25480 AT3G57530 AT5G05410 AT5G57660 AT5G66880 AT2G30870 AT2G05940 AT2G46500 AT1G04400 AT1G76180 AT1G27730 AT1G20440 AT1G20450 AT3G10500 AT3G05630 AT3G19970 AT1G22190 AT4G02280 AT3G46620 AT3G52450 AT5G40390 AT5G47120 AT5G67030 AT5G26340 AT1G56600 AT4G17615 AT2G33700 AT2G18960 AT2G45960 AT2G05520 AT2G15970 AT2G46510 AT1G08930 AT1G02205 AT2G22430 AT2G21660 AT2G47180 AT1G54100 AT1G11210 AT1G33240 AT1G78380 AT1G69270 AT1G01620 AT3G11410 AT3G05640 AT3G05740 AT3G06760 AT3G27690 AT3G23920 AT3G12630 AT4G04330 AT4G08920 AT4G18950 AT4G24190 AT4G24960 AT4G30660 AT4G30960 AT4G34000 AT4G39090 AT3G50260 AT3G53420 AT5G61590
GO:0010243	response to organonitrogen compound	5.07310431956689e-31	1.48277049059622e-28	5.08 (73/677; 443/20876)	AT2G46830 AT1G23710 AT1G09070 AT2G40000 AT2G40140 AT1G59870 AT1G32640 AT1G01720 AT1G32920 AT1G66160 AT4G33430 AT4G34150 AT3G55430 AT3G55980 AT2G30040 AT1G18740 AT1G17420 AT1G68840 AT1G76600 AT3G11820 AT3G49530 AT3G57530 AT3G62720 AT5G03720 AT5G05140 AT5G05410 AT5G42650 AT5G63130 AT5G64310 AT2G23320 AT2G44490 AT2G41100 AT2G46500 AT1G09940 AT1G27730 AT1G32460 AT3G08720 AT3G19970 AT1G66880 AT4G26090 AT4G31550 AT3G46620 AT3G50910 AT3G52450 AT5G47200 AT5G57560 AT5G14740 AT5G16830 AT5G04340 AT2G33700 AT2G23810 AT1G08930 AT1G80820 AT1G02450 AT1G19050 AT3G09010 AT3G01480 AT1G22070 AT4G01250 AT4G18950 AT4G27280 AT4G31800 AT4G33050 AT4G37610 AT3G46600 AT3G50260 AT3G53180 AT3G59350 AT5G03680 AT5G22890 AT5G44070 AT1G73540 AT4G17490
GO:0009415	response to water	1.66671510766278e-30	3.65361495969236e-28	5.14 (71/677; 426/20876)	AT2G41430 AT1G73480 AT1G32640 AT1G01720 AT3G63010 AT2G46680 AT2G17840 AT3G11820 AT3G30775 AT4G25480 AT3G57530 AT5G05410 AT5G57660 AT5G66880 AT2G30870 AT2G05940 AT2G46500 AT1G04400 AT1G76180 AT1G27730 AT1G20440 AT1G20450 AT3G10500 AT3G05630 AT3G19970 AT1G22190 AT4G02280 AT3G46620 AT3G52450 AT5G40390 AT5G47120 AT5G67030 AT5G26340 AT1G56600 AT4G17615 AT2G33700 AT2G18960 AT2G45960 AT2G05520 AT2G15970 AT2G46510 AT1G08930 AT1G02205 AT2G22430 AT2G21660 AT2G47180 AT1G54100 AT1G11210 AT1G33240 AT1G78380 AT1G69270 AT1G01620 AT3G11410 AT3G05640 AT3G05740 AT3G06760 AT3G27690 AT3G23920 AT3G12630 AT4G04330 AT4G08920 AT4G18950 AT4G24190 AT4G24960 AT4G30660 AT4G30960 AT4G34000 AT4G39090 AT3G50260 AT3G53420 AT5G61590
GO:0071396	cellular response to lipid	2.44030055418968e-25	3.66662178095111e-23	4.94 (61/677; 381/20876)	AT3G48360 AT3G07360 AT3G29575 AT5G05440 AT1G32640 AT1G01720 AT4G18710 AT4G33430 AT3G63010 AT2G30040 AT2G46680 AT3G11820 AT3G57530 AT5G11260 AT5G42050 AT5G66880 AT2G33150 AT2G05940 AT2G46500 AT1G15100 AT1G64610 AT1G27730 AT1G62380 AT1G20650 AT3G08720 AT4G00710 AT4G30270 AT4G35470 AT4G39400 AT5G08130 AT5G10450 AT5G45830 AT5G47120 AT5G54380 AT4G17615 AT2G44080 AT2G38310 AT2G46510 AT1G09530 AT2G22430 AT2G42580 AT1G35670 AT1G12240 AT1G69270 AT3G05120 AT3G11410 AT3G02140 AT3G05800 AT3G28340 AT1G18620 AT4G18950 AT4G34000 AT4G35790 AT3G50260 AT3G57040 AT3G61070 AT5G01810 AT5G53160 AT5G58430 AT5G65430 AT4G36540
GO:0007623	circadian rhythm	2.92713503521307e-25	3.66662178095111e-23	7.57 (42/677; 171/20876)	AT2G46830 AT1G22770 AT2G43010 AT3G48360 AT5G24470 AT1G18330 AT1G01060 AT3G54810 AT3G59060 AT3G62980 AT5G37260 AT5G48250 AT5G61380 AT3G46640 AT3G07650 AT3G06500 AT3G12320 AT4G25480 AT5G11260 AT2G18790 AT1G09570 AT1G04400 AT3G22380 AT4G33980 AT5G08330 AT2G25930 AT2G41310 AT1G09530 AT2G21660 AT2G18170 AT1G80820 AT1G04990 AT1G19050 AT3G09600 AT3G06080 AT4G08920 AT4G30350 AT3G51400 AT3G57040 AT3G61070 AT5G17300 AT5G62720
GO:0048511	rhythmic process	2.92713503521307e-25	3.66662178095111e-23	7.57 (42/677; 171/20876)	AT2G46830 AT1G22770 AT2G43010 AT3G48360 AT5G24470 AT1G18330 AT1G01060 AT3G54810 AT3G59060 AT3G62980 AT5G37260 AT5G48250 AT5G61380 AT3G46640 AT3G07650 AT3G06500 AT3G12320 AT4G25480 AT5G11260 AT2G18790 AT1G09570 AT1G04400 AT3G22380 AT4G33980 AT5G08330 AT2G25930 AT2G41310 AT1G09530 AT2G21660 AT2G18170 AT1G80820 AT1G04990 AT1G19050 AT3G09600 AT3G06080 AT4G08920 AT4G30350 AT3G51400 AT3G57040 AT3G61070 AT5G17300 AT5G62720
GO:0008219	cell death	2.58466055129566e-19	2.8329239989859e-17	3.79 (61/677; 496/20876)	AT2G43010 AT1G09070 AT1G13260 AT2G40140 AT1G59870 AT1G32640 AT4G33430 AT4G34150 AT3G63010 AT5G35735 AT2G27500 AT1G18740 AT3G11820 AT4G33300 AT3G57530 AT5G42050 AT5G42650 AT2G44490 AT2G41100 AT2G05940 AT2G46500 AT1G64610 AT3G08720 AT3G19970 AT1G66880 AT4G26090 AT4G35090 AT4G39400 AT5G47120 AT5G47910 AT5G14740 AT5G08330 AT4G17615 AT2G18730 AT2G46510 AT1G61740 AT1G78600 AT1G02450 AT1G69270 AT3G01480 AT3G05800 AT3G25070 AT3G12920 AT3G27060 AT3G27210 AT3G28910 AT1G51680 AT1G22070 AT4G03110 AT4G08920 AT4G11330 AT4G18950 AT4G33050 AT4G34000 AT4G35790 AT3G50260 AT3G57330 AT5G44070 AT5G47180 AT5G48930 AT5G24930
GO:0010941	regulation of cell death	7.70315148103026e-19	7.30634200671657e-17	4.12 (54/677; 404/20876)	AT2G43010 AT1G09070 AT1G13260 AT2G40140 AT1G59870 AT1G32640 AT4G33430 AT4G34150 AT3G63010 AT5G35735 AT2G27500 AT1G18740 AT3G11820 AT4G33300 AT3G57530 AT5G42050 AT5G42650 AT2G44490 AT2G41100 AT2G05940 AT2G46500 AT1G64610 AT3G08720 AT3G19970 AT1G66880 AT4G26090 AT4G39400 AT5G47120 AT5G47910 AT5G14740 AT5G08330 AT4G17615 AT2G18730 AT2G46510 AT1G61740 AT1G78600 AT1G02450 AT1G69270 AT3G01480 AT3G05800 AT3G25070 AT3G12920 AT3G27210 AT1G51680 AT1G22070 AT4G11330 AT4G18950 AT4G33050 AT3G50260 AT3G57330 AT5G44070 AT5G47180 AT5G48930 AT5G24930
GO:0012501	programmed cell death	8.33256291282202e-19	7.30634200671657e-17	3.92 (57/677; 448/20876)	AT2G43010 AT1G09070 AT1G13260 AT2G40140 AT1G59870 AT1G32640 AT4G33430 AT4G34150 AT3G63010 AT5G35735 AT2G27500 AT1G18740 AT3G11820 AT4G33300 AT3G57530 AT5G42050 AT5G42650 AT2G44490 AT2G41100 AT2G05940 AT2G46500 AT1G64610 AT3G08720 AT3G19970 AT1G66880 AT4G26090 AT5G47120 AT5G47910 AT5G14740 AT5G08330 AT4G17615 AT2G18730 AT2G46510 AT1G61740 AT1G78600 AT1G02450 AT1G69270 AT3G01480 AT3G05800 AT3G25070 AT3G12920 AT3G27060 AT3G27210 AT3G28910 AT1G51680 AT1G22070 AT4G03110 AT4G08920 AT4G11330 AT4G18950 AT4G33050 AT4G35790 AT3G57330 AT5G44070 AT5G47180 AT5G48930 AT5G24930
